ID,Charm Type,Charm Name,Skill 1,Skill 2,Charm Slot,Table No.
2,Timeworn Charm,Queen Talisman,Dragon Atk +3,KO -3,0,1
352,Timeworn Charm,King Talisman,Sharpness +5,Sharpener -9,0,1
61952,Timeworn Charm,Queen Talisman,Blight Res +1,,2,1
53294,Timeworn Charm,Dragon Talisman,Will Recov +5,Attack +6,1,1
32835,Timeworn Charm,King Talisman,FastCharge +1,PunishDraw +3,0,1
27016,Timeworn Charm,Dragon Talisman,Fire Atk +4,Dragon Atk +3,3,1
48680,Timeworn Charm,King Talisman,Slam +4,Fire Atk -2,0,1
5127,Timeworn Charm,King Talisman,WindPress +1,Health +6,1,1
52633,Timeworn Charm,Dragon Talisman,Loading +6,Fencing +2,0,1
47225,Timeworn Charm,Dragon Talisman,Ice Attack +7,Eating +2,0,1
10499,Timeworn Charm,King Talisman,Artisan +5,,0,1
17660,Timeworn Charm,Queen Talisman,Sheathe +2,Awaken +1,0,1
36099,Timeworn Charm,King Talisman,FastCharge +4,Protection -1,0,1
13213,Timeworn Charm,Queen Talisman,Carving +1,Sharpness -3,1,1
37783,Timeworn Charm,King Talisman,Rewards +4,,0,1
48145,Timeworn Charm,Queen Talisman,Will Recov +3,,0,1
41693,Timeworn Charm,Queen Talisman,Will Recov +3,PelletS Up -2,1,1
17312,Timeworn Charm,King Talisman,Debilitate +1,Fire Res +9,2,1
40214,Timeworn Charm,Queen Talisman,Awaken +4,Loading -1,0,1
18460,Timeworn Charm,Queen Talisman,PunishDraw +2,FatigueAtk -1,1,1
46173,Timeworn Charm,King Talisman,Sheathe +6,WindPress -6,0,1
21436,Timeworn Charm,Dragon Talisman,Elemental +3,Sheathe +3,0,1
47045,Timeworn Charm,Queen Talisman,Evade Dist +1,Will Recov -1,0,1
44182,Timeworn Charm,King Talisman,Fencing +4,Water Atk -2,0,1
63198,Timeworn Charm,Queen Talisman,WindPress +2,Ice Res -1,1,1
11138,Timeworn Charm,Dragon Talisman,Elemental +5,Wide Area +4,0,1
64761,Timeworn Charm,Queen Talisman,Thundr Atk +4,,0,1
24774,Timeworn Charm,Dragon Talisman,Reload Spd +5,Fire Atk +7,0,1
46266,Timeworn Charm,Dragon Talisman,Ice Attack +7,,0,1
37804,Timeworn Charm,King Talisman,Will Recov +4,Fencing -2,2,1
51841,Timeworn Charm,Queen Talisman,Fencing +1,Crit Draw +1,0,1
38559,Timeworn Charm,Queen Talisman,Artisan +1,Status -3,0,1
53995,Timeworn Charm,King Talisman,Carving +2,,2,1
25485,Timeworn Charm,King Talisman,Reload Spd +6,Attack -1,0,1
40676,Timeworn Charm,King Talisman,Debilitate +4,,0,1
34409,Timeworn Charm,King Talisman,Protection +7,,0,1
42588,Timeworn Charm,Dragon Talisman,Fencing +3,Guard +4,0,1
44106,Timeworn Charm,Queen Talisman,Rewards +1,Health +7,0,1
49822,Timeworn Charm,King Talisman,Loading +6,Fate -3,0,1
10030,Timeworn Charm,King Talisman,Thundr Atk +7,,0,1
479,Timeworn Charm,Queen Talisman,Evade Dist +2,Evasion -1,0,1
18941,Timeworn Charm,King Talisman,Blight Res +4,,0,1
103,Timeworn Charm,Dragon Talisman,Constitutn +5,Dragon Res +9,0,1
18128,Timeworn Charm,King Talisman,Recoil +4,Evade Dist -1,2,1
53104,Timeworn Charm,Queen Talisman,HearProtct +2,,0,1
64758,Timeworn Charm,Queen Talisman,NormalS Up +2,Debilitate -1,1,1
24246,Timeworn Charm,Queen Talisman,PelletS Up +2,Potential -3,1,1
18701,Timeworn Charm,Queen Talisman,Thundr Atk +5,,0,1
23226,Timeworn Charm,Dragon Talisman,Slam +4,Dragon Res +10,0,1
35270,Timeworn Charm,Queen Talisman,Potential +1,Guard -2,0,1
63398,Timeworn Charm,Queen Talisman,Fate +2,Elemental +1,0,1
46338,Timeworn Charm,Queen Talisman,NormalS Up +2,,0,1
50476,Timeworn Charm,Queen Talisman,WindPress +2,,0,1
59771,Timeworn Charm,Queen Talisman,Rapid Fire +2,,0,1
61616,Timeworn Charm,Queen Talisman,Debilitate +2,KO +1,0,1
59521,Timeworn Charm,Queen Talisman,Carving +1,Attack -9,0,1
17616,Timeworn Charm,Queen Talisman,Protection +3,,0,1
28355,Timeworn Charm,Dragon Talisman,Potential +6,Wide Area +7,0,1
22892,Timeworn Charm,King Talisman,Slam +4,,0,1
41849,Timeworn Charm,King Talisman,Water Atk +7,,0,1
44768,Timeworn Charm,King Talisman,Fire Atk +5,Hunger +1,0,1
35608,Timeworn Charm,Queen Talisman,Sharpness +2,Gunnery -6,1,1
57523,Timeworn Charm,Dragon Talisman,Slam +4,Recoil +2,0,1
58146,Timeworn Charm,Queen Talisman,Status +4,,0,1
37068,Timeworn Charm,Queen Talisman,FastCharge +1,,1,1
53031,Timeworn Charm,Dragon Talisman,Debilitate +4,Fencing +2,0,1
51910,Timeworn Charm,King Talisman,Thundr Atk +5,Psychic +3,0,1
50703,Timeworn Charm,King Talisman,Elemental +5,KO -3,0,1
34360,Timeworn Charm,King Talisman,NormalS Up +2,,3,1
33964,Timeworn Charm,King Talisman,Fire Atk +7,,0,1
29631,Timeworn Charm,Queen Talisman,NormalS Up +1,Thundr Atk +4,0,1
51379,Timeworn Charm,Dragon Talisman,Guard +5,,3,1
22610,Timeworn Charm,Queen Talisman,Elemental +1,Water Res -7,0,1
57580,Timeworn Charm,Dragon Talisman,Evasion +4,Crit Draw +2,0,1
2815,Timeworn Charm,King Talisman,Potential +1,Water Atk +9,0,1
37899,Timeworn Charm,Queen Talisman,Potential +3,,0,1
3198,Timeworn Charm,King Talisman,Rapid Fire +4,,0,1
39944,Timeworn Charm,Queen Talisman,Loading +2,KO -1,2,1
36303,Timeworn Charm,Queen Talisman,Loading +3,,0,1
49117,Timeworn Charm,Queen Talisman,Guard +1,Expert -2,2,1
16676,Timeworn Charm,King Talisman,Dragon Atk +7,Carving -2,0,1
59004,Timeworn Charm,King Talisman,Fencing +4,ThunderRes +4,0,1
57350,Timeworn Charm,Queen Talisman,Thundr Atk +5,,0,1
27698,Timeworn Charm,Queen Talisman,Blight Res +1,Recoil -1,0,1
37986,Timeworn Charm,Queen Talisman,Evasion +2,,1,1
18510,Timeworn Charm,Queen Talisman,Rec Level +1,ThunderRes +8,0,1
54973,Timeworn Charm,King Talisman,Rec Level +5,Blight Res -1,0,1
1524,Timeworn Charm,Queen Talisman,Evade Dist +3,,0,1
6772,Timeworn Charm,Queen Talisman,Artisan +1,,0,1
15338,Timeworn Charm,King Talisman,Rapid Fire +5,,0,1
19605,Timeworn Charm,Queen Talisman,Fire Atk +2,Rec Speed +5,0,1
51604,Timeworn Charm,King Talisman,Sharpness +5,Health -7,0,1
62210,Timeworn Charm,King Talisman,KO +6,Sharpener -2,0,1
